qW:,qX:,qY:,qZ:,direction
0.017,0.080,0.989,-0.120,-100,
0.006,0.073,0.991,-0.110,-100,
-0.002,0.068,0.992,-0.104,-100,
-0.006,0.063,0.993,-0.098,-100,
-0.008,0.061,0.994,-0.094,-100,
-0.008,0.066,0.994,-0.092,-100,
-0.007,0.076,0.993,-0.089,-100,
-0.007,0.078,0.993,-0.089,-100,
-0.008,0.073,0.993,-0.095,-100,
-0.011,0.065,0.993,-0.101,-100,
-0.014,0.065,0.992,-0.102,-100,
-0.020,0.069,0.992,-0.103,-100,
-0.020,0.080,0.991,-0.104,-100,
-0.021,0.093,0.990,-0.105,-100,
-0.022,0.100,0.989,-0.104,-100,
-0.026,0.108,0.989,-0.103,-100,
-0.025,0.115,0.988,-0.103,-100,
-0.019,0.115,0.988,-0.102,-100,
-0.015,0.114,0.988,-0.101,-100,
-0.016,0.109,0.989,-0.101,-100,
-0.017,0.114,0.988,-0.100,-100,
-0.016,0.118,0.988,-0.099,-100,
-0.013,0.121,0.988,-0.099,-100,
-0.011,0.120,0.988,-0.099,-100,
-0.009,0.119,0.988,-0.099,-100,
-0.006,0.119,0.988,-0.098,-100,
-0.007,0.120,0.988,-0.098,-100,
-0.007,0.120,0.988,-0.098,-100,
-0.005,0.122,0.988,-0.098,-100,
-0.002,0.122,0.988,-0.098,-100,
-0.001,0.121,0.988,-0.098,-100,
-0.000,0.120,0.988,-0.098,-100,
0.001,0.120,0.988,-0.098,-100,
0.005,0.120,0.988,-0.097,-100,
0.007,0.123,0.988,-0.097,-100,
0.009,0.123,0.988,-0.097,-100,
0.012,0.121,0.988,-0.096,-100,
0.013,0.121,0.988,-0.096,-100,
0.013,0.122,0.988,-0.096,-100,
0.013,0.124,0.988,-0.095,-100,
0.013,0.126,0.987,-0.094,-100,
0.014,0.125,0.988,-0.094,-100,
0.016,0.125,0.987,-0.094,-100,
0.016,0.126,0.987,-0.094,-100,
0.016,0.127,0.987,-0.094,-100,
0.016,0.127,0.987,-0.095,-100,
0.016,0.128,0.987,-0.097,-100,
0.021,0.134,0.986,-0.098,-100,
0.026,0.135,0.986,-0.099,-100,
0.026,0.135,0.985,-0.101,-100,
0.026,0.137,0.985,-0.102,-100,
0.028,0.142,0.984,-0.104,-100,
0.032,0.141,0.984,-0.106,-100,
0.029,0.133,0.985,-0.109,-100,
0.023,0.111,0.986,-0.123,-100,
0.027,0.091,0.984,-0.149,-100,
0.032,0.083,0.978,-0.189,-100,
0.021,0.086,0.951,-0.295,-100,
-0.002,0.104,0.906,-0.409,-100,
-0.014,0.124,0.830,-0.544,-100,
-0.014,0.106,0.786,-0.608,-100,
-0.018,0.071,0.747,-0.661,-100,
-0.012,0.014,0.682,-0.731,-100,
-0.007,0.001,0.610,-0.793,100,
0.039,0.017,0.501,-0.864,100,
0.092,0.039,0.431,-0.897,100,
0.139,0.059,0.372,-0.916,100,
0.176,0.071,0.313,-0.931,100,
0.210,0.047,0.239,-0.947,100,
0.224,0.021,0.181,-0.957,100,
0.213,0.014,0.152,-0.965,100,
0.200,-0.009,0.127,-0.972,100,
0.196,-0.003,0.100,-0.976,100,
0.186,0.012,0.089,-0.978,100,
0.175,0.027,0.082,-0.981,100,
0.156,0.026,0.074,-0.985,100,
0.149,0.027,0.071,-0.986,100,
0.146,0.040,0.068,-0.986,100,
0.145,0.046,0.066,-0.986,100,
0.146,0.050,0.065,-0.986,100,
0.142,0.052,0.063,-0.986,100,
0.139,0.051,0.061,-0.987,100,
0.138,0.053,0.059,-0.987,100,
0.136,0.055,0.057,-0.988,100,
0.135,0.059,0.055,-0.988,100,
0.135,0.059,0.055,-0.987,100,
0.135,0.057,0.056,-0.988,100,
0.132,0.060,0.056,-0.988,100,
0.131,0.063,0.055,-0.988,100,
0.131,0.065,0.056,-0.988,100,
0.133,0.061,0.057,-0.988,100,
0.134,0.058,0.058,-0.988,100,
0.134,0.060,0.058,-0.987,100,
0.134,0.065,0.058,-0.987,100,
0.134,0.064,0.058,-0.987,100,
0.133,0.062,0.059,-0.987,100,
0.132,0.063,0.059,-0.987,100,
0.132,0.064,0.058,-0.987,100,
0.133,0.063,0.058,-0.987,100,
0.133,0.064,0.058,-0.987,100,
0.133,0.062,0.058,-0.987,100,
0.132,0.062,0.057,-0.988,100,
0.129,0.063,0.057,-0.988,100,
0.130,0.061,0.058,-0.988,100,
0.130,0.061,0.058,-0.988,100,
0.130,0.058,0.059,-0.988,100,
0.130,0.054,0.060,-0.988,100,
0.130,0.052,0.060,-0.988,100,
0.130,0.051,0.060,-0.988,100,
0.130,0.049,0.061,-0.988,100,
0.130,0.050,0.061,-0.988,100,
0.130,0.049,0.062,-0.988,100,
0.130,0.047,0.062,-0.988,100,
0.130,0.043,0.064,-0.988,100,
0.131,0.041,0.065,-0.988,100,
0.133,0.036,0.066,-0.988,100,
0.135,0.027,0.069,-0.988,100,
0.135,0.022,0.071,-0.988,100,
0.139,0.017,0.073,-0.987,100,
0.140,0.013,0.078,-0.987,100,
0.140,0.010,0.087,-0.986,100,
0.141,-0.004,0.109,-0.984,100,
0.140,-0.015,0.160,-0.977,100,
0.135,0.000,0.215,-0.967,100,
0.126,0.020,0.295,-0.947,100,
0.126,0.014,0.377,-0.917,100,
0.130,-0.043,0.481,-0.866,100,
0.122,-0.033,0.567,-0.814,100,
0.083,0.058,0.652,-0.751,100,
0.065,0.120,0.737,-0.661,-100,
0.055,0.146,0.805,-0.573,-100,
0.036,0.160,0.865,-0.474,-100,
-0.003,0.173,0.918,-0.357,-100,
-0.022,0.182,0.942,-0.280,-100,
-0.039,0.187,0.958,-0.214,-100,
-0.055,0.190,0.965,-0.170,-100,
